id,qr_code_uid,qr_code_name
L000491-capitol,2017/03/19/5vyvapk4ey_L000491_capitol.png,L000491-capitol.png
H000874-capitol,2017/03/19/3btmi081lt_H000874_capitol.png,H000874-capitol.png
H001061-capitol,2017/03/19/8mc4dhpdv6_H001061_capitol.png,H001061-capitol.png
L000562-capitol,2017/03/19/23x7gux2mg_L000562_capitol.png,L000562-capitol.png
C001088-capitol,2017/03/19/2bhdtv58y_C001088_capitol.png,C001088-capitol.png
I000055-capitol,2017/03/19/3jxrwos2e6_I000055_capitol.png,I000055-capitol.png
H001046-capitol,2017/03/19/h8vk0nhmb_H001046_capitol.png,H001046-capitol.png
I000056-capitol,2017/03/19/75vt6zjwli_I000056_capitol.png,I000056-capitol.png
J000032-capitol,2017/03/19/8oxu9gegbb_J000032_capitol.png,J000032-capitol.png
J000290-capitol,2017/03/19/8evk6zu6p_J000290_capitol.png,J000290-capitol.png
M001166-capitol,2017/03/19/3jn3aue7d3_M001166_capitol.png,M001166-capitol.png
M001181-capitol,2017/03/19/6ukrk1rc2m_M001181_capitol.png,M001181-capitol.png
M001137-capitol,2017/03/19/63lglmal20_M001137_capitol.png,M001137-capitol.png
M001160-capitol,2017/03/19/72xjxb45dp_M001160_capitol.png,M001160-capitol.png
M000934-capitol,2017/03/19/2tetrvo77m_M000934_capitol.png,M000934-capitol.png
M001153-capitol,2017/03/19/2ibpyggjcm_M001153_capitol.png,M001153-capitol.png
M001151-capitol,2017/03/19/8ux5jnhwse_M001151_capitol.png,M001151-capitol.png
M001111-capitol,2017/03/19/6de3rncczo_M001111_capitol.png,M001111-capitol.png
N000184-capitol,2017/03/19/3giv6cqlbj_N000184_capitol.png,N000184-capitol.png
N000147-capitol,2017/03/19/3ymfduekqg_N000147_capitol.png,N000147-capitol.png
N000181-capitol,2017/03/19/303n4kp1aj_N000181_capitol.png,N000181-capitol.png
P000593-capitol,2017/03/19/1yz3eigza9_P000593_capitol.png,P000593-capitol.png
P000258-capitol,2017/03/19/3a4wdgsekk_P000258_capitol.png,P000258-capitol.png
